,Date,Open,High,Low,Close,Volume,DayVolitility,DayPriceChange,WkPriceChange,MthPriceChange,SixMthPriceChange,YrPriceChange,TwoYrPriceChange,FutWkPriceChange,FutMthPriceChange,FutSixMthPriceChange,FutYrPriceChange,FutTwoYrPriceChange
60,1972-07-12,0.04251,0.04251,0.04251,0.04251,1325125,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.5968007527640555,-0.4029640084685956
61,1972-07-13,0.04251,0.04251,0.04251,0.04251,2228619,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.5968007527640555,-0.4029640084685956
62,1972-07-14,0.04251,0.04251,0.04251,0.04251,361397,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.5968007527640555,
63,1972-07-17,0.04251,0.04251,0.04251,0.04251,903496,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.4029640084685956
64,1972-07-18,0.04251,0.04251,0.04251,0.04251,1626290,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,
65,1972-07-19,0.04251,0.04251,0.04251,0.04251,4216307,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.4029640084685956,
66,1972-07-20,0.04251,0.04251,0.04251,0.04251,1686526,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.4029640084685956
67,1972-07-21,0.04251,0.04251,0.04251,0.04251,2349087,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.4029640084685956,-0.4029640084685956
68,1972-07-24,0.04251,0.04251,0.04251,0.04251,14877553,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.4029640084685956
69,1972-07-25,0.04251,0.04251,0.04251,0.04251,3132119,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.19948247471183256,-0.4029640084685956
70,1972-07-26,0.04251,0.04251,0.04251,0.04251,421630,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.19948247471183256,-0.4029640084685956
71,1972-07-27,0.04251,0.04251,0.04251,0.04251,361397,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.19948247471183256,-0.4029640084685956
72,1972-07-28,0.04251,0.04251,0.04251,0.04251,1023963,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.19948247471183256,-0.4029640084685956
73,1972-07-31,0.04251,0.04251,0.04251,0.04251,1566055,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.19948247471183256,-0.4029640084685956
74,1972-08-01,0.04251,0.04251,0.04251,0.04251,1566055,-0.0,0.0,0.0,,,,,0.0,0.0,0.0,-0.19948247471183256,-0.4029640084685956
75,1972-08-02,0.04251,0.04251,0.04251,0.04251,64509546,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.19948247471183256,-0.4029640084685956
76,1972-08-03,0.04251,0.04251,0.04251,0.04251,4517476,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.19948247471183256,
77,1972-08-04,0.04251,0.04251,0.04251,0.04251,4758406,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.19948247471183256,
78,1972-08-07,0.04251,0.04251,0.04251,0.04251,2529786,-0.0,0.0,0.0,0.0,,,,0.0,,0.0,-0.19948247471183256,-0.4029640084685956
79,1972-08-08,0.04251,0.04251,0.04251,0.04251,1686526,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.19948247471183256,-0.4029640084685956
80,1972-08-09,0.04251,0.04251,0.04251,0.04251,4457244,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.4029640084685956
81,1972-08-10,0.04251,0.04251,0.04251,0.04251,2529786,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.4029640084685956
82,1972-08-11,0.04251,0.04251,0.04251,0.04251,3493514,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.19948247471183256,
83,1972-08-14,0.04251,0.04251,0.04251,0.04251,3674212,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,-0.4029640084685956
84,1972-08-15,0.04251,0.04251,0.04251,0.04251,4276542,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.4029640084685956
85,1972-08-16,0.04251,0.04251,0.04251,0.04251,4758406,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,-0.4029640084685956
86,1972-08-17,0.04251,0.04251,0.04251,0.04251,3854915,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.4029640084685956
87,1972-08-18,0.04251,0.04251,0.04251,0.04251,1264892,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.19948247471183256,-0.4029640084685956
88,1972-08-21,0.04251,0.04251,0.04251,0.04251,6384696,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.4029640084685956
89,1972-08-22,0.04251,0.05101,0.04251,0.04251,3252582,0.16663399333464024,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.5968007527640555
90,1972-08-23,0.04251,0.05101,0.04251,0.04251,1626290,0.16663399333464024,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.4029640084685956
91,1972-08-24,0.04251,0.04251,0.04251,0.04251,4397012,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.4029640084685956
92,1972-08-25,0.04251,0.04251,0.04251,0.04251,2951416,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.4029640084685956,-0.4029640084685956
93,1972-08-28,0.04251,0.04251,0.04251,0.04251,1144431,-0.0,0.0,0.0,0.0,,,,,0.0,0.0,-0.4029640084685956,-0.4029640084685956
94,1972-08-29,0.04251,0.04251,0.04251,0.04251,2288851,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.19948247471183256,-0.4029640084685956
95,1972-08-30,0.04251,0.04251,0.04251,0.04251,481866,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.19948247471183256,-0.4029640084685956
96,1972-08-31,0.04251,0.04251,0.04251,0.04251,1023963,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.4029640084685956
97,1972-09-01,0.04251,0.04251,0.04251,0.04251,301162,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.4029640084685956,
98,1972-09-05,0.04251,0.04251,0.04251,0.04251,662565,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.19948247471183256,-0.4029640084685956
99,1972-09-06,0.04251,0.04251,0.04251,0.04251,301162,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,-0.4029640084685956
100,1972-09-07,0.04251,0.04251,0.04251,0.04251,1385361,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.19948247471183256,
101,1972-09-08,0.04251,0.04251,0.04251,0.04251,783030,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.19948247471183256,-0.4029640084685956
102,1972-09-11,0.04251,0.04251,0.04251,0.04251,1084194,-0.0,0.0,,0.0,,,,0.0,0.0,0.0,,
103,1972-09-12,0.04251,0.04251,0.04251,0.04251,722794,-0.0,0.0,0.0,0.0,,,,0.0,,0.0,-0.4029640084685956,-0.4029640084685956
104,1972-09-13,0.04251,0.04251,0.04251,0.04251,180697,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,
105,1972-09-14,0.04251,0.04251,0.04251,0.04251,1505825,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.4029640084685956,-0.5968007527640555
106,1972-09-15,0.04251,0.04251,0.04251,0.04251,602329,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,-0.4029640084685956,-0.5968007527640555
107,1972-09-18,0.04251,0.04251,0.04251,0.04251,1264892,-0.0,0.0,0.0,0.0,0.24919188950925664,,,0.0,0.0,-0.19948247471183256,-0.4029640084685956,-0.5968007527640555
108,1972-09-19,0.04251,0.04251,0.04251,0.04251,3674212,-0.0,0.0,0.0,0.0,,,,0.0,0.0,-0.19948247471183256,-0.4029640084685956,-0.5968007527640555
109,1972-09-20,0.04251,0.04251,0.04251,0.04251,60232,-0.0,0.0,0.0,0.0,0.24919188950925664,,,0.0,0.0,-0.19948247471183256,-0.19948247471183256,-0.5968007527640555
